participant,session,trial_number_overall,image_name,fixation_duration,eccentricity_fix,eccentricity_obj,sacc_amp,ROI_size
501,1,26,1352.jpg,708,76.7284171607886,79.4896461348822,1.98629780127431,8133
501,1,156,1378.jpg,884,148.048134064567,98.2889395835519,2.45677122532078,13330
501,1,156,1378.jpg,827,112.322081533419,98.2889395835519,1.12224303798954,13330
501,1,109,1380.jpg,612,79.7950499717871,50.3519203133732,NaN,51
501,1,141,1389.jpg,1876,94.4311918806493,107.482280444604,NaN,845
501,1,141,1389.jpg,1040,89.5670140174384,NaN,2.63406966691013,105460
501,1,146,1400.jpg,494,128.515563259864,NaN,3.33287559363392,124252
501,1,106,1407.jpg,638,88.1036321612225,NaN,0.67152163145748,83669
501,1,116,1425.jpg,447,105.300759731352,111.309555488083,1.2500717313892,25253
501,1,116,1425.jpg,758,100.728595741229,63.0142857123563,4.31500681416154,4236
501,1,65,1430.jpg,508,112.277557864428,77.8296101270925,NaN,9520
501,1,65,1430.jpg,870,144.697097413874,77.8296101270925,1.07937078346776,9520
501,1,22,1431.jpg,450,107.094584363543,147.134672765767,1.06722811564374,10453
501,1,22,1431.jpg,361,87.4485563059791,NaN,1.54836317067485,114996
501,1,22,1431.jpg,939,116.43989866021,143.915411573696,1.4349266309949,1992
501,1,87,1441.jpg,1141,82.6513762740827,109.307845005564,2.51834659086269,5880
501,1,87,1441.jpg,479,122.968491899348,109.307845005564,1.13062321605351,5880
501,1,87,1441.jpg,400,85.2657610063969,72.0939771712089,3.19459001800106,4995
501,1,87,1441.jpg,959,112.424419055648,109.307845005564,3.89877746219178,5880
501,1,7,1453.jpg,862,116.345390970163,NaN,3.96853974091914,96291
501,1,7,1453.jpg,842,140.029461185852,85.106439856623,2.76222826664731,13380
501,1,20,1462.jpg,916,79.7260935955099,NaN,NaN,86244
501,1,20,1462.jpg,523,103.248486671718,144.726365544361,3.79249316505427,6370
501,1,20,1462.jpg,776,144.045999597351,180.144610185435,5.22088537899439,1792
501,1,20,1462.jpg,1222,96.2561686334959,144.726365544361,5.02825520604474,6370
501,1,151,1478.jpg,239,72.6033745772192,85.8329174645975,NaN,10249
501,1,151,1478.jpg,642,114.395148498527,122.043568314395,1.39809766058814,7654
501,1,151,1478.jpg,357,80.6923168585461,85.8329174645975,0.974657469191095,10249
501,1,151,1478.jpg,1743,89.2202331312803,85.8329174645975,4.60347537236177,10249
501,1,126,1484.jpg,357,87.3627494988568,136.85833850837,3.9023285126131,6752
501,1,126,1484.jpg,610,93.9747306460625,136.85833850837,1.33250481601768,6752
501,1,11,1496.jpg,591,99.1022199549536,156.372558171668,3.40952271586824,8169
501,1,11,1496.jpg,739,96.2198004570785,151.491679559981,4.16511333685385,1428
501,1,11,1496.jpg,705,114.683259458388,156.372558171668,4.57541034732561,8169
501,1,82,1499.jpg,309,90.5883546599672,141.397331608312,1.51003412751007,16644
501,1,82,1499.jpg,721,143.074281406548,127.657735902311,5.12184690504232,14601
501,1,82,1499.jpg,964,96.3132908792966,141.397331608312,4.6870234426277,16644
501,1,82,1499.jpg,1178,173.101848632532,127.657735902311,5.59362352230812,14601
501,1,19,1503.jpg,287,91.346866393982,58.3646880174195,0.929675869647854,4152
501,1,75,1506.jpg,406,96.2925230742242,115.192358877859,1.62996745780637,1113
501,1,96,1514.jpg,446,150.951151039003,NaN,3.36576885553107,113666
501,1,96,1514.jpg,651,81.4631818676388,136.960816642161,4.31113135480447,13086
501,1,96,1514.jpg,713,112.02789831109,77.4306808579943,3.5080740003654,7945
501,1,48,1536.jpg,524,76.7088651982286,18.3713992143909,2.74086632304212,42736
501,1,48,1536.jpg,546,88.0411835449751,18.3713992143909,3.33294483282663,42736
501,1,48,1536.jpg,945,80.0078121185675,63.4676704976362,1.37420184863789,13423
501,1,108,1550.jpg,667,111.383347049727,NaN,2.56035842320229,45644
501,1,108,1550.jpg,1491,118.761315250379,73.7493870028616,4.19251564942759,12009
501,1,108,1550.jpg,593,105.148704224065,NaN,4.25849810553332,45644
501,1,53,1552.jpg,1116,97.6793222744712,NaN,2.32121858686854,99100
501,1,53,1552.jpg,626,78.5,73.2902018323872,2.16280209324163,2036
501,1,53,1552.jpg,511,116.911291157014,87.2513283211175,3.14942898728541,20909
501,1,53,1552.jpg,502,73.8664335134708,73.2902018323872,4.11979792644747,2036
501,1,103,1561.jpg,1060,89.5390976054595,133.605662917572,1.22483802603755,1967
501,1,103,1561.jpg,524,121.281696887865,40.6015175802414,3.85503087612814,11269
501,1,49,1563.jpg,488,78.4107773204679,100.653915717398,1.87763348865591,3105
501,1,49,1563.jpg,837,123.516193270356,129.944291802908,3.60358287507222,4100
