"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[501,Intercept]","r_subject_id[502,Intercept]","r_subject_id[503,Intercept]","r_subject_id[504,Intercept]","r_subject_id[505,Intercept]","r_subject_id[506,Intercept]","r_subject_id[507,Intercept]","r_subject_id[508,Intercept]","r_subject_id[509,Intercept]","r_subject_id[510,Intercept]","r_subject_id[511,Intercept]","r_subject_id[512,Intercept]","r_subject_id[513,Intercept]","r_subject_id[514,Intercept]","r_subject_id[515,Intercept]","r_subject_id[516,Intercept]","r_subject_id[517,Intercept]","r_subject_id[518,Intercept]","r_subject_id[519,Intercept]","r_subject_id[520,Intercept]","r_subject_id[521,Intercept]","r_subject_id[522,Intercept]","r_subject_id[523,Intercept]","r_subject_id[524,Intercept]","r_subject_id[525,Intercept]","r_subject_id[526,Intercept]","lprior","lp__"
"21",4.4154791,0.76906441,4.4154791,1.0387383,-0.64770326,1.4911575,1.0903218,0.33754058,-1.8223325,-0.62543757,-1.6474165,0.26171441,0.14781504,0.19359159,-0.47514614,-0.65291927,1.0267059,0.017339204,1.8205064,0.13483764,-0.041036556,0.26575332,-1.7358228,-0.35741009,0.33721277,0.61498315,0.13298676,0.39893484,0.13819439,-6.4260138,-206.27308
"22",4.3405211,0.37805664,4.3405211,0.13568982,-0.18313791,-0.35943419,-0.40371955,0.31482744,-0.72621711,-0.16196847,-0.29127914,0.69678869,-0.41169746,0.30290467,-0.20161839,-0.52651245,0.32732546,-0.15302063,-0.4405951,0.37994993,-0.0074136284,-0.4086375,0.019687883,0.12760483,-0.22143301,-0.44311542,-0.67846738,0.31735925,0.14578518,-5.8891544,-213.31428
"23",4.3790728,0.37743383,4.3790728,-0.34579252,-0.13932634,-0.17361954,-0.46729625,0.34548789,0.026714732,0.0074286317,-0.010201486,0.85474547,-0.40447263,0.36128535,-0.49907393,-0.23893057,-0.43970934,0.49625664,0.34029611,0.43483208,0.19324121,-0.72557646,-0.23960222,-0.53789479,0.56616598,-0.23083417,0.048661321,0.13057972,0.30507714,-5.9632327,-217.84035
"24",3.9061769,0.057040518,3.9061769,-0.060191793,-0.06662823,0.037060585,0.043015861,0.0020307927,-0.099733318,-0.018618618,-0.051289371,0.053927834,0.025802838,0.02391267,0.04024275,-0.0136653,0.061372836,0.035098461,-0.0086432708,-0.035251556,-0.072162221,0.064748435,-0.023203184,0.0019492883,0.031193768,0.09507831,0.044099974,0.014526168,-0.076230827,-4.7721593,-217.02259
"25",4.0246887,0.45902591,4.0246887,0.51917382,0.64171327,-0.290368,-0.57248299,0.1226311,-0.35857125,-0.18307667,0.23253971,-0.39429476,-0.67518713,0.21863473,0.28049746,-0.74408247,-0.13323265,-0.14173084,0.11463895,0.20416873,0.71301012,-0.75895867,-0.41752095,-0.1248992,-0.019921552,-0.45769972,0.55316197,-0.037445588,-0.31434114,-5.3830116,-213.60258
"26",3.9005012,0.58343345,3.9005012,-0.23849282,-0.36654795,0.61681776,1.0499231,0.37251546,-0.58973283,-0.39693267,-0.9084056,0.84491329,0.78054147,-0.2515294,-0.24992787,0.38004034,0.51625338,0.12267247,0.54002709,0.10794974,-0.2197982,-0.27388815,-0.22189917,0.10743191,0.47450886,0.63130298,-0.62704818,0.23575023,-0.73894268,-5.2887058,-210.21187
"27",4.7147935,1.1729514,4.7147935,3.1579413,0.57027821,0.68329899,-0.51923146,1.6509693,-3.9235598,-1.7806241,-0.83333483,0.91432597,-1.3719976,-0.099454677,-0.017894167,-1.1168971,0.91985672,-0.94860601,-0.32204622,0.90838541,1.6481922,-0.79416932,-1.3833613,-0.63076653,-1.053594,2.5510778,0.71381325,-0.030813,-1.2976875,-7.4371946,-212.19118
"28",4.0496003,0.60980358,4.0496003,-1.0122478,0.57625488,0.28575395,0.10484467,0.12738601,0.18082594,-0.37956346,-0.58491398,0.037121589,0.28454189,0.19536747,0.34385238,-0.40795931,0.45741224,-0.32741081,1.3803646,2.0973023,0.19240125,-1.251788,-0.60231637,-0.58465218,0.38564171,-0.16299988,1.3068283,0.44911061,-0.71235316,-5.5784878,-217.89153
"29",4.6301596,0.76595667,4.6301596,0.75953945,-0.16660638,1.2099708,0.28851197,1.2339738,0.15708529,-1.0725026,-0.80944969,0.19689499,-0.5397205,1.4605778,0.56309559,-0.82047958,0.69276844,1.4587377,0.34214567,1.5016918,0.78741994,-0.90536191,-0.054223495,0.55645475,-0.68501519,-0.33419022,-0.73004451,0.19922754,-1.0806321,-6.8544442,-214.1544
"30",4.46284,0.41691848,4.46284,-0.14381131,0.40613778,-0.29693425,-0.020505483,0.53289216,-0.93731575,-0.35349088,-0.6494931,0.082128269,-0.060202139,-0.13080734,-0.26455058,0.21600594,0.34368616,-0.30581717,0.57125959,0.12380512,0.43601452,-0.52111769,-0.74126995,0.40492415,0.12004945,-0.085588313,0.34210414,0.25706131,0.007343405,-6.167309,-206.07417
